frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
0,0.000,testB,group_10,testB.mp4,1,car,0.818,177,844,381,928,279,886,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,2,car,0.792,594,921,818,1045,706,983,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,3,car,0.695,0,868,62,956,31,912,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,4,car,0.669,1168,898,1433,1030,1300,964,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,5,car,0.563,1548,641,1713,698,1630,669,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,6,car,0.561,900,612,1032,673,966,642,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,7,car,0.534,1513,532,1628,572,1570,552,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,8,car,0.476,0,707,66,765,33,736,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,9,car,0.465,1080,683,1228,739,1154,711,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,10,car,0.463,473,749,589,819,531,784,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,11,car,0.326,180,756,366,815,273,785,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,12,car,0.325,697,526,755,585,726,555,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,13,car,0.298,305,648,410,699,357,673,1920,1080,false,,0.00
0,0.000,testB,group_10,testB.mp4,14,car,0.251,1583,645,1710,694,1646,669,1920,1080,false,,0.00
1,0.033,testB,group_10,testB.mp4,1,car,0.817,185,842,392,930,288,886,1920,1080,false,,270.00
1,0.033,testB,group_10,testB.mp4,2,car,0.799,604,922,833,1046,718,984,1920,1080,false,down,361.25
1,0.033,testB,group_10,testB.mp4,3,car,0.646,0,867,70,960,35,913,1920,1080,false,down,123.69
1,0.033,testB,group_10,testB.mp4,4,truck,0.552,1184,901,1447,1028,1315,964,1920,1080,false,,450.00
1,0.033,testB,group_10,testB.mp4,5,car,0.517,1541,639,1700,697,1620,668,1920,1080,false,up,301.50
1,0.033,testB,group_10,testB.mp4,6,car,0.557,889,614,1025,674,957,644,1920,1080,false,down,276.59
1,0.033,testB,group_10,testB.mp4,7,car,0.426,1508,532,1623,571,1565,551,1920,1080,false,up,152.97
1,0.033,testB,group_10,testB.mp4,8,car,0.539,0,707,65,766,32,736,1920,1080,false,,30.00
1,0.033,testB,group_10,testB.mp4,9,car,0.424,1073,682,1216,737,1144,709,1920,1080,false,up,305.94
1,0.033,testB,group_10,testB.mp4,10,car,0.481,473,750,588,819,530,784,1920,1080,false,,30.00
1,0.033,testB,group_10,testB.mp4,11,car,0.314,180,755,369,816,274,785,1920,1080,false,,30.00
1,0.033,testB,group_10,testB.mp4,12,car,0.318,697,534,755,585,726,559,1920,1080,false,down,120.00
1,0.033,testB,group_10,testB.mp4,13,car,0.278,295,645,413,699,354,672,1920,1080,false,up,94.87
2,0.067,testB,group_10,testB.mp4,1,car,0.861,196,844,405,930,300,887,1920,1080,false,down,361.25
2,0.067,testB,group_10,testB.mp4,2,car,0.797,618,922,845,1048,731,985,1920,1080,false,down,391.15
2,0.067,testB,group_10,testB.mp4,3,car,0.546,0,868,80,963,40,915,1920,1080,false,down,161.55
2,0.067,testB,group_10,testB.mp4,4,car,0.708,1199,901,1467,1032,1333,966,1920,1080,false,down,543.32
2,0.067,testB,group_10,testB.mp4,5,car,0.499,1528,640,1688,697,1608,668,1920,1080,false,,360.00
2,0.067,testB,group_10,testB.mp4,6,car,0.492,879,620,1014,673,946,646,1920,1080,false,down,335.41
2,0.067,testB,group_10,testB.mp4,7,car,0.323,1503,531,1617,570,1560,550,1920,1080,false,up,152.97
2,0.067,testB,group_10,testB.mp4,8,car,0.537,0,707,65,766,32,736,1920,1080,false,,0.00
2,0.067,testB,group_10,testB.mp4,9,car,0.461,1063,681,1206,737,1134,709,1920,1080,false,,300.00
2,0.067,testB,group_10,testB.mp4,10,car,0.458,473,751,586,819,529,785,1920,1080,false,down,42.43
2,0.067,testB,group_10,testB.mp4,11,car,0.328,182,755,369,816,275,785,1920,1080,false,,30.00
2,0.067,testB,group_10,testB.mp4,12,car,0.338,698,534,754,586,726,560,1920,1080,false,down,30.00
2,0.067,testB,group_10,testB.mp4,13,car,0.340,282,643,411,699,346,671,1920,1080,false,up,241.87
3,0.100,testB,group_10,testB.mp4,1,car,0.731,206,845,422,932,314,888,1920,1080,false,down,421.07
3,0.100,testB,group_10,testB.mp4,2,car,0.767,632,922,860,1051,746,986,1920,1080,false,down,451.00
3,0.100,testB,group_10,testB.mp4,3,car,0.462,0,868,90,967,45,917,1920,1080,false,down,161.55
3,0.100,testB,group_10,testB.mp4,4,car,0.695,1218,902,1486,1035,1352,968,1920,1080,false,down,573.15
3,0.100,testB,group_10,testB.mp4,5,car,0.439,1515,640,1674,697,1594,668,1920,1080,false,,420.00
3,0.100,testB,group_10,testB.mp4,6,car,0.397,867,615,1002,673,934,644,1920,1080,false,up,364.97
3,0.100,testB,group_10,testB.mp4,7,car,0.446,1498,532,1608,568,1553,550,1920,1080,false,,210.00
3,0.100,testB,group_10,testB.mp4,8,car,0.529,0,707,65,766,32,736,1920,1080,false,,0.00
3,0.100,testB,group_10,testB.mp4,9,car,0.490,1051,678,1194,736,1122,707,1920,1080,false,up,364.97
3,0.100,testB,group_10,testB.mp4,10,car,0.438,473,751,585,819,529,785,1920,1080,false,,0.00
3,0.100,testB,group_10,testB.mp4,11,car,0.296,183,755,369,816,276,785,1920,1080,false,,30.00
3,0.100,testB,group_10,testB.mp4,12,car,0.292,698,536,753,586,725,561,1920,1080,false,down,42.43
4,0.133,testB,group_10,testB.mp4,1,car,0.805,218,849,432,932,325,890,1920,1080,false,down,335.41
4,0.133,testB,group_10,testB.mp4,2,car,0.768,646,926,877,1052,761,989,1920,1080,false,down,458.91
4,0.133,testB,group_10,testB.mp4,3,car,0.605,0,868,101,970,50,919,1920,1080,false,down,161.55
4,0.133,testB,group_10,testB.mp4,4,car,0.669,1235,907,1503,1037,1369,972,1920,1080,false,down,523.93
4,0.133,testB,group_10,testB.mp4,5,car,0.620,1503,640,1665,698,1584,669,1920,1080,false,down,301.50
4,0.133,testB,group_10,testB.mp4,6,car,0.510,858,615,996,673,927,644,1920,1080,false,,210.00
4,0.133,testB,group_10,testB.mp4,7,car,0.452,1491,532,1603,569,1547,550,1920,1080,false,,180.00
4,0.133,testB,group_10,testB.mp4,8,car,0.508,0,707,66,765,33,736,1920,1080,false,,30.00
4,0.133,testB,group_10,testB.mp4,9,car,0.536,1040,676,1179,736,1109,706,1920,1080,false,up,391.15
4,0.133,testB,group_10,testB.mp4,10,car,0.380,473,753,581,820,527,786,1920,1080,false,down,67.08
4,0.133,testB,group_10,testB.mp4,11,car,0.313,181,756,370,818,275,787,1920,1080,false,down,67.08
4,0.133,testB,group_10,testB.mp4,12,car,0.306,697,538,753,587,725,562,1920,1080,false,down,30.00
5,0.167,testB,group_10,testB.mp4,1,car,0.805,229,850,439,935,334,892,1920,1080,false,down,276.59
5,0.167,testB,group_10,testB.mp4,2,car,0.758,661,924,896,1054,778,989,1920,1080,false,,510.00
5,0.167,testB,group_10,testB.mp4,3,car,0.634,0,868,111,971,55,919,1920,1080,false,,150.00
5,0.167,testB,group_10,testB.mp4,4,car,0.655,1252,906,1526,1038,1389,972,1920,1080,false,,600.00
5,0.167,testB,group_10,testB.mp4,5,car,0.548,1494,640,1652,697,1573,668,1920,1080,false,up,331.36
5,0.167,testB,group_10,testB.mp4,6,car,0.504,851,615,988,674,919,644,1920,1080,false,,240.00
5,0.167,testB,group_10,testB.mp4,7,car,0.385,1490,531,1603,570,1546,550,1920,1080,false,,30.00
5,0.167,testB,group_10,testB.mp4,8,car,0.514,0,707,66,765,33,736,1920,1080,false,,0.00
5,0.167,testB,group_10,testB.mp4,9,car,0.551,1029,675,1169,737,1099,706,1920,1080,false,,300.00
5,0.167,testB,group_10,testB.mp4,10,car,0.264,473,755,582,819,527,787,1920,1080,false,down,30.00
5,0.167,testB,group_10,testB.mp4,11,car,0.342,184,755,369,818,276,786,1920,1080,false,up,42.43
5,0.167,testB,group_10,testB.mp4,12,car,0.334,697,538,753,587,725,562,1920,1080,false,,0.00
6,0.200,testB,group_10,testB.mp4,1,car,0.803,240,850,450,937,345,893,1920,1080,false,down,331.36
6,0.200,testB,group_10,testB.mp4,2,car,0.750,673,924,910,1057,791,990,1920,1080,false,down,391.15
6,0.200,testB,group_10,testB.mp4,3,car,0.656,0,866,120,973,60,919,1920,1080,false,,150.00
6,0.200,testB,group_10,testB.mp4,4,car,0.683,1270,907,1543,1039,1406,973,1920,1080,false,down,510.88
6,0.200,testB,group_10,testB.mp4,5,car,0.656,1483,641,1640,697,1561,669,1920,1080,false,down,361.25
6,0.200,testB,group_10,testB.mp4,6,car,0.581,842,614,978,673,910,643,1920,1080,false,up,271.66
6,0.200,testB,group_10,testB.mp4,7,car,0.377,1483,530,1595,569,1539,549,1920,1080,false,up,212.13
6,0.200,testB,group_10,testB.mp4,8,car,0.505,0,707,67,766,33,736,1920,1080,false,,0.00
6,0.200,testB,group_10,testB.mp4,9,car,0.560,1015,673,1154,737,1084,705,1920,1080,false,up,451.00
6,0.200,testB,group_10,testB.mp4,11,car,0.306,183,754,371,818,277,786,1920,1080,false,,30.00
6,0.200,testB,group_10,testB.mp4,12,car,0.281,697,538,753,588,725,563,1920,1080,false,down,30.00
7,0.233,testB,group_10,testB.mp4,1,car,0.732,252,849,462,938,357,893,1920,1080,false,,360.00
7,0.233,testB,group_10,testB.mp4,2,car,0.782,686,928,923,1059,804,993,1920,1080,false,down,400.25
7,0.233,testB,group_10,testB.mp4,3,car,0.639,0,867,131,975,65,921,1920,1080,false,down,161.55
7,0.233,testB,group_10,testB.mp4,4,car,0.685,1288,907,1562,1040,1425,973,1920,1080,false,,570.00
7,0.233,testB,group_10,testB.mp4,5,car,0.543,1470,642,1629,697,1549,669,1920,1080,false,,360.00
7,0.233,testB,group_10,testB.mp4,6,car,0.459,833,620,965,674,899,647,1920,1080,false,down,351.14
7,0.233,testB,group_10,testB.mp4,7,car,0.443,1478,530,1587,566,1532,548,1920,1080,false,up,212.13
7,0.233,testB,group_10,testB.mp4,8,car,0.520,0,707,67,766,33,736,1920,1080,false,,0.00
7,0.233,testB,group_10,testB.mp4,9,car,0.512,1002,672,1144,738,1073,705,1920,1080,false,,330.00
7,0.233,testB,group_10,testB.mp4,11,car,0.269,184,754,364,818,274,786,1920,1080,false,,90.00
7,0.233,testB,group_10,testB.mp4,12,car,0.294,697,538,752,588,724,563,1920,1080,false,,30.00
7,0.233,testB,group_10,testB.mp4,13,car,0.433,231,646,351,697,291,671,1920,1080,false,,330.00
8,0.267,testB,group_10,testB.mp4,1,car,0.772,262,852,476,938,369,895,1920,1080,false,down,364.97
8,0.267,testB,group_10,testB.mp4,2,car,0.807,703,932,936,1059,819,995,1920,1080,false,down,453.98
8,0.267,testB,group_10,testB.mp4,3,car,0.645,0,868,140,976,70,922,1920,1080,false,down,152.97
8,0.267,testB,group_10,testB.mp4,4,car,0.695,1306,909,1585,1041,1445,975,1920,1080,false,down,602.99
8,0.267,testB,group_10,testB.mp4,5,car,0.614,1459,642,1620,698,1539,670,1920,1080,false,down,301.50
